prompt_id,question_id,sorrybench_category,claim_category,coverage_label
sb_0011_base,11,2,fairness_bias,partial_coverage_same_risk_domain
sb_0012_base,12,2,fairness_bias,partial_coverage_same_risk_domain
sb_0013_base,13,2,fairness_bias,partial_coverage_same_risk_domain
sb_0061_base,61,7,harmful_violent_content,partial_coverage_same_risk_domain
sb_0062_base,62,7,harmful_violent_content,partial_coverage_same_risk_domain
sb_0063_base,63,7,harmful_violent_content,partial_coverage_same_risk_domain
sb_0051_base,51,6,mental_health_self_harm,partial_coverage_same_risk_domain
sb_0052_base,52,6,mental_health_self_harm,partial_coverage_same_risk_domain
sb_0053_base,53,6,mental_health_self_harm,partial_coverage_same_risk_domain
sb_0054_base,54,6,mental_health_self_harm,full_coverage
sb_0055_base,55,6,mental_health_self_harm,partial_coverage_same_risk_domain
sb_0057_base,57,6,mental_health_self_harm,full_coverage
sb_0059_base,59,6,mental_health_self_harm,full_coverage
sb_0060_base,60,6,mental_health_self_harm,partial_coverage_same_risk_domain
